日経平均,日足,,,
日付,始値,高値,安値,終値
2013/3/26,12461.79,12540.12,12456.04,12471.62
2013/3/25,12507.61,12594.36,12480.42,12546.46
2013/3/22,12498.51,12522.05,12338.53,12338.53
2013/3/21,12592,12650.26,12586.06,12635.69
2013/3/19,12405.61,12491.16,12401.12,12468.23
2013/3/18,12365.44,12373.17,12220.63,12220.63
2013/3/15,12437.68,12560.95,12434.47,12560.95
2013/3/14,12332.16,12395.73,12248.65,12381.19
2013/3/13,12252.29,12339.45,12234.48,12239.66
2013/3/12,12433.6,12461.97,12314.81,12314.81
2013/3/11,12363.09,12403.95,12300.83,12349.05
2013/3/8,12066.5,12283.62,12065.09,12283.62
2013/3/7,12037.25,12069.6,11946.01,11968.08
2013/3/6,11811.06,11933.82,11803.09,11932.27
2013/3/5,11732.57,11779.42,11666.38,11683.45
2013/3/4,11695.45,11767.68,11613.59,11652.29
2013/3/1,11464.71,11648.63,11464.71,11606.38
2013/2/28,11396.73,11563.75,11392.56,11559.36
2013/2/27,11418.56,11419.62,11253.97,11253.97
2013/2/26,11449.66,11520.24,11374.83,11398.81
2013/2/25,11564.55,11662.52,11562.1,11662.52
2013/2/22,11238.75,11390.65,11175.67,11385.94
2013/2/21,11404.73,11442.11,11301.77,11309.13
2013/2/20,11485.65,11510.52,11440.1,11468.28
2013/2/19,11336.45,11412.86,11336.45,11372.34
2013/2/18,11318.22,11445.46,11308.83,11407.87
2013/2/15,11239.21,11261.58,11065.06,11173.83
2013/2/14,11273.4,11356.54,11243.49,11307.28
2013/2/13,11333.72,11365.27,11196.66,11251.41
2013/2/12,11346.72,11460.64,11343.44,11369.12
2013/2/8,11179.97,11299.71,11135.89,11153.16
2013/2/7,11406.32,11446.81,11295.62,11357.07
2013/2/6,11236.7,11498.42,11232.05,11463.75
2013/2/5,11105.24,11170.85,11046.92,11046.92
2013/2/4,11254.16,11285.49,11194.74,11260.35
2013/2/1,11193.72,11237.84,11142.26,11191.34
2013/1/31,11057.5,11145.38,11007.77,11138.66
2013/1/30,10913.97,11113.95,10905.64,11113.95
2013/1/29,10751.01,10937.63,10751.01,10866.72
2013/1/28,11002.86,11002.86,10824.31,10824.31
2013/1/25,10797.3,10926.65,10790.95,10926.65
2013/1/24,10441.11,10634.74,10441.11,10620.87
2013/1/23,10575.6,10663.09,10486.99,10486.99
2013/1/22,10765.1,10859.42,10615.2,10709.93
2013/1/21,10941.45,10941.45,10747.74,10747.74
2013/1/18,10791.97,10913.3,10787.12,10913.3
2013/1/17,10660.94,10694.85,10432.97,10609.64
2013/1/16,10806.41,10806.41,10591.3,10600.44
2013/1/15,10914.65,10952.31,10851.66,10879.08
2013/1/11,10786.14,10830.43,10748.06,10801.57
2013/1/10,10635.11,10686.12,10619.65,10652.64
2013/1/9,10405.67,10620.7,10398.61,10578.57
2013/1/8,10544.21,10602.12,10463.43,10508.06
2013/1/7,10743.69,10743.69,10589.7,10599.01
2013/1/4,10604.5,10734.23,10602.24,10688.11
2012/12/27,10295.26,10376.39,10288.85,10322.98
2012/12/26,10131.22,10230.36,10107.34,10230.36
2012/12/25,10092.35,10119.35,10030.44,10080.12
2012/12/21,10145.58,10175.06,9924.42,9940.06
2012/12/20,10093.11,10147.68,10028.65,10039.33
2012/12/19,10025.4,10160.4,10016.98,10160.4
2012/12/18,9848.87,9967.24,9848.87,9923.01
2012/12/17,9895.68,9903.35,9826.3,9828.88
2012/12/14,9703.56,9775.75,9687.7,9737.56
2012/12/13,9681.2,9767.05,9672.47,9742.73
2012/12/12,9606.25,9606.25,9565.95,9581.46
2012/12/11,9510.6,9534.18,9487.95,9525.32
2012/12/10,9584.46,9584.46,9517.4,9533.75
2012/12/7,9547.14,9572.75,9522.13,9527.39
2012/12/6,9535.69,9565.43,9503.31,9545.16
2012/12/5,9380.37,9515.86,9376.97,9468.84
2012/12/4,9419.15,9457.19,9406.03,9432.46
2012/12/3,9484.2,9525.82,9453.48,9458.18
2012/11/30,9446.77,9492.91,9380.25,9446.01
2012/11/29,9370.29,9412.08,9350.4,9400.88
2012/11/28,9375.48,9407.62,9308.35,9308.35
2012/11/27,9371.13,9449.72,9370.59,9423.3
2012/11/26,9466.06,9487.94,9388.94,9388.94
2012/11/22,9336.32,9366.8,9304.72,9366.8
2012/11/21,9213.73,9248.98,9161.21,9222.52
2012/11/20,9198.42,9200.85,9129.43,9142.64
2012/11/19,9141.27,9183.46,9135.29,9153.2
2012/11/16,8898.33,9032.35,8898.33,9024.16
2012/11/15,8703.82,8829.72,8684.23,8829.72
2012/11/14,8660.27,8680.4,8653.49,8664.73
2012/11/13,8710.52,8723.46,8619.45,8661.05
2012/11/12,8701.28,8728.85,8676.44,8676.44
2012/11/9,8742.68,8779.24,8729.45,8757.6
2012/11/8,8868.42,8891.08,8811.41,8837.15
2012/11/7,9030.56,9032.32,8924.41,8972.89
2012/11/6,8989.58,8990.35,8957.49,8975.15
2012/11/5,9000.81,9040.18,8984.69,9007.44
2012/11/2,9049.22,9072.39,9031.43,9051.22
2012/11/1,8931.71,8976.08,8871.48,8946.87
2012/10/31,8911.08,8985.58,8905.44,8928.29
2012/10/30,8941.82,8995.81,8841.98,8841.98
2012/10/29,8958.79,8986.05,8909.37,8929.34
2012/10/26,9058.93,9075.59,8933.06,8933.06
2012/10/25,8952.13,9057.31,8941.85,9055.2
2012/10/24,8896.41,9043.8,8896.41,8954.3
2012/10/23,9066.03,9075.58,8970.5,9014.25
2012/10/22,8874.52,9031.55,8867.79,9010.71
2012/10/19,8944.03,9016.9,8940.38,9002.68
2012/10/18,8886.56,8992.36,8877.17,8982.86
2012/10/17,8777.39,8837.19,8758.7,8806.55
2012/10/16,8638.68,8707.95,8633.68,8701.31
2012/10/15,8517.77,8595.11,8488.14,8577.93
2012/10/12,8607.7,8620.18,8516.11,8534.12
2012/10/11,8514.63,8607.42,8514.63,8546.78
2012/10/10,8650.55,8660.68,8578.25,8596.23
2012/10/9,8822.39,8840.69,8765.55,8769.59
2012/10/5,8850.29,8880.23,8805.79,8863.3
2012/10/4,8783.13,8865.92,8738.31,8824.59
2012/10/3,8778.26,8806.75,8729.56,8746.87
2012/10/2,8826.36,8843.33,8774.75,8786.05
2012/10/1,8815.07,8829.35,8759.07,8796.51
2012/9/28,8986.63,8989.08,8838.85,8870.16
2012/9/27,8856.31,8959.25,8844.06,8949.87
2012/9/26,8941.75,8971.75,8894.02,8906.7
2012/9/25,9031.37,9112.54,9023.63,9091.54
2012/9/24,9071.32,9091.97,9031.13,9069.29
2012/9/21,9113.3,9159.33,9103.95,9110
2012/9/20,9174.19,9215.57,9079.19,9086.98
2012/9/19,9166.52,9288.53,9140.75,9232.21
2012/9/18,9155.49,9180.44,9120.61,9123.77
2012/9/14,9097.92,9193.27,9081.8,9159.39
2012/9/13,8950.01,9022.2,8932.1,8995.15
2012/9/12,8827.21,8959.96,8821.8,8959.96
2012/9/11,8811.33,8814.03,8769.47,8807.38
2012/9/10,8853.19,8874.54,8838.18,8869.37
2012/9/7,8821.37,8871.65,8804.27,8871.65
2012/9/6,8690.34,8697,8646.03,8680.57
2012/9/5,8756.59,8759.26,8679.82,8679.82
2012/9/4,8787.97,8804.44,8729.22,8775.51
2012/9/3,8836.61,8893.39,8773.4,8783.89
2012/8/31,8891.75,8933.99,8839.91,8839.91
2012/8/30,9062.07,9062.07,8960.24,8983.78
2012/8/29,9045.73,9073.99,9033.83,9069.81
2012/8/28,9138.51,9140.62,8988.99,9033.29
2012/8/27,9140.41,9150.48,9084.87,9085.39
2012/8/24,9069.95,9090.67,9045.79,9070.76
